"Дата","Цена","Откр.","Макс.","Мин.","Изм. %"
"Авг. '13","0,6447","0,6575","0,6622","0,6362","-1,95%"
"Июль '13","0,6575","0,6579","0,6751","0,6479","0,03%"
"Июнь '13","0,6573","0,6580","0,6594","0,6349","-0,09%"
"Май '13","0,6579","0,6438","0,6663","0,6408","2,21%"
"Апр. '13","0,6437","0,6579","0,6651","0,6424","-2,10%"
"Март '13","0,6575","0,6593","0,6743","0,6553","-0,26%"
"Февр. '13","0,6592","0,6308","0,6635","0,6297","4,55%"
"Янв. '13","0,6305","0,6159","0,6380","0,6105","2,39%"
"Дек. '12","0,6158","0,6245","0,6249","0,6133","-1,33%"
"Нояб. '12","0,6241","0,6199","0,6319","0,6181","0,68%"
"Окт. '12","0,6199","0,6192","0,6284","0,6166","0,23%"
"Сент. '12","0,6185","0,6298","0,6319","0,6131","-1,86%"
"Авг. '12","0,6302","0,6380","0,6456","0,6284","-1,21%"
"Июль '12","0,6379","0,6370","0,6497","0,6342","0,22%"
"Июнь '12","0,6365","0,6490","0,6550","0,6338","-1,94%"
"Май '12","0,6491","0,6159","0,6510","0,6155","5,37%"
"Апр. '12","0,6160","0,6222","0,6327","0,6134","-1,35%"
"Март '12","0,6244","0,6282","0,6410","0,6235","-0,59%"
"Февр. '12","0,6281","0,6346","0,6392","0,6253","-1,02%"
"Янв. '12","0,6346","0,6450","0,6564","0,6331","-1,38%"
"Дек. '11","0,6435","0,6369","0,6510","0,6339","1,00%"
"Нояб. '11","0,6371","0,6218","0,6484","0,6199","2,54%"
"Окт. '11","0,6213","0,6420","0,6549","0,6186","-3,16%"
"Сент. '11","0,6416","0,6156","0,6525","0,6150","4,29%"
"Авг. '11","0,6152","0,6098","0,6208","0,6018","1,03%"
"Июль '11","0,6089","0,6231","0,6337","0,6072","-2,28%"
"Июнь '11","0,6231","0,6078","0,6284","0,6061","2,52%"
"Май '11","0,6078","0,5984","0,6227","0,5974","1,54%"
"Апр. '11","0,5986","0,6235","0,6262","0,5972","-4,02%"
"Март '11","0,6237","0,6150","0,6276","0,6097","1,41%"
"Февр. '11","0,6150","0,6243","0,6265","0,6143","-1,46%"
"Янв. '11","0,6241","0,6421","0,6490","0,6226","-2,62%"
"Дек. '10","0,6409","0,6425","0,6517","0,6284","-0,30%"
"Нояб. '10","0,6428","0,6232","0,6458","0,6135","3,13%"
"Окт. '10","0,6233","0,6365","0,6388","0,6209","-2,04%"
"Сент. '10","0,6363","0,6512","0,6538","0,6280","-2,32%"
"Авг. '10","0,6514","0,6358","0,6525","0,6250","2,18%"
"Июль '10","0,6375","0,6691","0,6723","0,6360","-4,71%"
"Июнь '10","0,6690","0,6880","0,6971","0,6610","-2,73%"
"Май '10","0,6878","0,6529","0,7026","0,6526","5,02%"
"Апр. '10","0,6549","0,6586","0,6612","0,6442","-0,56%"
"Март '10","0,6586","0,6596","0,6765","0,6502","0,43%"
"Февр. '10","0,6558","0,6270","0,6601","0,6223","4,94%"
