,anonymousId,utm_source,utm_medium,utm_campaign,session_start_time,"duration, m"
14,05496790-0bab-11e8-bc73-594af98b9f41,No data,No data,No data,2018-02-07 02:02:59.858999+00:00,0.0
15,05519d50-0c4d-11e8-8488-1b85324fb712,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,scMIE0HCE9amvF9RU2DiyQ==,2018-02-07 21:22:38.075000+00:00,0.0
16,05519d50-0c4d-11e8-8488-1b85324fb712,No data,No data,No data,2018-02-07 21:22:40.868999+00:00,26.0
17,05de6b10-0bec-11e8-8524-5f5627031bf5,No data,No data,No data,2018-02-07 09:48:18.312000+00:00,0.0
18,0690c5f0-0bfe-11e8-841e-8943815b5730,No data,No data,No data,2018-02-07 11:57:10.322999+00:00,1.2
19,06b98d00-0be5-11e8-809f-8fd70d4070d0,yCLBtjhT7Sc7iWh6xQX5+g==,cpc,No data,2018-02-07 08:58:12.884999+00:00,0.21666666666666667
20,06b98d00-0be5-11e8-809f-8fd70d4070d0,No data,No data,No data,2018-02-07 08:58:28.871000+00:00,0.7833333333333333
21,07786500-0c39-11e8-b3ef-efddaccf401d,No data,No data,No data,2018-02-07 18:59:31.747999+00:00,0.0
22,080f0ab0-0bc0-11e8-aaa5-d9b76ddcc28f,No data,No data,No data,2018-02-07 04:33:24.720999+00:00,0.0
23,083be2b0-044f-11e8-aaf6-8ba60b40f7bd,No data,No data,No data,2018-02-07 19:02:56.535000+00:00,1.6833333333333333
24,08a051c0-072c-11e8-8c92-9dd8855da905,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,scMIE0HCE9amvF9RU2DiyQ==,2018-02-07 08:03:25.121000+00:00,0.0
25,08a051c0-072c-11e8-8c92-9dd8855da905,No data,No data,No data,2018-02-07 08:03:31.592000+00:00,4.0
26,08e4e760-0bb7-11e8-98fc-9762efa76071,No data,No data,No data,2018-02-07 03:28:59.954999+00:00,0.0
27,091defc0-0c1a-11e8-b896-8d4007ab1d6b,yCLBtjhT7Sc7iWh6xQX5+g==,cpc,No data,2018-02-07 15:17:40.213000+00:00,0.21666666666666667
28,09ab99b0-0c2e-11e8-8eea-d70258e2a5b2,No data,No data,No data,2018-02-07 21:40:58.325999+00:00,0.21666666666666667
29,09c07780-0bfd-11e8-a691-1dcb507e3c3c,No data,No data,No data,2018-02-07 11:50:06.145999+00:00,280.1333333333333
30,09f3c670-09e2-11e8-a2c6-0b00f7380134,yCLBtjhT7Sc7iWh6xQX5+g==,cpc,No data,2018-02-07 17:51:53.197000+00:00,0.0
31,09f3c670-09e2-11e8-a2c6-0b00f7380134,No data,No data,No data,2018-02-07 17:54:41.871000+00:00,0.0
32,0a339260-0c02-11e8-b68a-55ecb185f7be,No data,No data,No data,2018-02-07 12:25:55.002000+00:00,7.033333333333333
33,0a6e07b0-0c20-11e8-a13f-53371252dd55,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,a9Yj/+1ZvP9IJ1OM0mHmfg==,2018-02-07 16:00:38.160000+00:00,0.0
34,0a6e07b0-0c20-11e8-a13f-53371252dd55,No data,No data,No data,2018-02-07 16:00:47.631999+00:00,6.083333333333333
35,0b44b8d0-0c45-11e8-ab06-25b6471985ba,No data,No data,No data,2018-02-07 20:25:31.892999+00:00,4.95
36,0ba499a0-0c25-11e8-9a16-299eeaad34c9,No data,No data,No data,2018-02-07 16:36:29.224999+00:00,3.1333333333333333
37,0bfa58f0-0c60-11e8-9706-2ff3252db889,No data,No data,No data,2018-02-07 23:38:51.381999+00:00,8.866666666666667
38,0ed5f780-0be5-11e8-88cb-bd025c478dec,yCLBtjhT7Sc7iWh6xQX5+g==,cpc,No data,2018-02-07 08:58:27.476999+00:00,0.6833333333333333
39,0ef42050-0c05-11e8-bcd2-9b2327f4809e,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,a9Yj/+1ZvP9IJ1OM0mHmfg==,2018-02-07 12:47:31.417999+00:00,0.2
40,0ef42050-0c05-11e8-bcd2-9b2327f4809e,No data,No data,No data,2018-02-07 12:47:47.584000+00:00,3.7333333333333334
41,0ef42050-0c05-11e8-bcd2-9b2327f4809e,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,CJNiaxAkackGcR6j3+AO6w==,2018-02-07 12:51:39.931999+00:00,0.0
42,0ef42050-0c05-11e8-bcd2-9b2327f4809e,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,a9Yj/+1ZvP9IJ1OM0mHmfg==,2018-02-07 12:51:40.543999+00:00,0.06666666666666667
43,0ef42050-0c05-11e8-bcd2-9b2327f4809e,No data,No data,No data,2018-02-07 12:51:49.148999+00:00,1.6333333333333333
44,0ef42050-0c05-11e8-bcd2-9b2327f4809e,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,a9Yj/+1ZvP9IJ1OM0mHmfg==,2018-02-07 12:53:54.959000+00:00,0.0
45,0ef42050-0c05-11e8-bcd2-9b2327f4809e,mN79bucN+x3qQWzs3zkfWA==,page,sUTw6n3ggjy/pmior2JzOg==,2018-02-07 12:54:02.301000+00:00,0.03333333333333333
46,0ef42050-0c05-11e8-bcd2-9b2327f4809e,No data,No data,No data,2018-02-07 12:54:08.052000+00:00,1.3
