               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089446,            0.010385,              0.0265,                   0,                   0,                   0,                   0,            0.068531,           0.0093994,            0.017169,             0.00016,             0.00016,             0.09856
                   1,            0.084944,           0.0094594,            0.024241,                   0,                   0,                   0,                   0,            0.067053,           0.0092069,            0.018233,          0.00032919,          0.00032919,            0.097029
                   2,            0.086996,           0.0089755,            0.025956,                   0,                   0,                   0,                   0,            0.067056,           0.0089116,            0.018625,          0.00049508,          0.00049508,            0.095495
                   3,            0.083902,           0.0094163,            0.022715,          4.4808e-05,          0.00079745,          2.1689e-05,          4.3378e-06,            0.066888,           0.0098881,            0.017327,          0.00065524,          0.00065524,            0.093955
                   4,            0.088392,            0.010753,            0.023225,          4.0485e-05,          0.00079745,           1.998e-05,           1.998e-06,            0.066694,           0.0098934,            0.016438,          0.00080732,          0.00080732,            0.092407
                   5,            0.090588,           0.0092523,             0.02406,          8.6596e-05,           0.0015949,          4.2484e-05,          4.2484e-06,             0.06611,           0.0098139,            0.016638,          0.00094911,          0.00094911,            0.090849
                   6,            0.087888,            0.010105,            0.020958,          0.00059412,          0.00079745,          2.6339e-05,          2.6339e-06,            0.065893,            0.010101,             0.01577,           0.0010786,           0.0010786,            0.089279
                   7,            0.078895,           0.0095025,            0.018416,          0.00015496,           0.0075758,          2.4956e-05,          2.4956e-06,            0.065657,            0.010326,            0.015249,            0.001194,            0.001194,            0.087694
                   8,            0.083094,            0.008807,            0.018074,           4.895e-05,          0.00079745,          2.4477e-05,          7.3431e-06,            0.065666,            0.010636,            0.014982,           0.0012937,           0.0012937,            0.086094
                   9,            0.080575,            0.009321,            0.016298,          0.00019611,           0.0075758,          2.4842e-05,          2.4842e-06,            0.065199,            0.010518,            0.013922,           0.0013765,           0.0013765,            0.084477
                  10,            0.083767,            0.010194,            0.017896,          0.00051041,           0.0083732,          0.00012668,          2.0267e-05,               0.065,            0.010876,             0.01357,           0.0014415,           0.0014415,            0.082842
                  11,             0.08565,            0.010659,            0.018111,           0.0014086,          0.00079745,          7.9124e-05,          1.5825e-05,            0.064255,            0.011004,            0.013518,           0.0014881,           0.0014881,            0.081188
                  12,            0.075625,            0.010449,            0.013778,           0.0014924,          0.00079745,          7.5309e-05,          9.9539e-06,            0.064001,            0.011278,            0.013165,           0.0015159,           0.0015159,            0.079516
                  13,            0.081973,             0.01099,            0.015702,          0.00091298,          0.00079745,          0.00014117,          2.9623e-05,            0.063769,            0.011413,            0.012636,           0.0015252,           0.0015252,            0.077825
                  14,            0.073809,            0.011097,            0.014141,           0.0023879,            0.048416,           0.0003492,          6.0961e-05,            0.063973,            0.011238,            0.012414,           0.0015165,           0.0015165,            0.076116
                  15,            0.080932,            0.010981,            0.014567,           0.0011982,            0.055992,          0.00031517,          5.6536e-05,            0.063729,            0.011268,             0.01229,           0.0014905,           0.0014905,             0.07439
                  16,             0.07217,            0.010429,            0.011469,           0.0070582,          0.00079745,          0.00021084,          4.6983e-05,            0.062785,            0.011963,             0.01204,           0.0014485,           0.0014485,            0.072649
                  17,            0.079537,            0.010937,            0.014713,             0.13317,          0.00079745,          0.00099924,          0.00019602,            0.062529,             0.01223,             0.01178,           0.0013921,           0.0013921,            0.070892
                  18,            0.076182,             0.01074,            0.015106,          0.00053094,           0.0099681,          0.00018384,          3.6006e-05,            0.062167,            0.012423,            0.011598,           0.0013232,           0.0013232,            0.069123
                  19,            0.081286,            0.012683,            0.013955,          0.00017024,            0.015949,          8.1658e-05,          1.4578e-05,             0.06197,            0.012591,            0.011434,            0.001244,            0.001244,            0.067344
                  20,            0.077672,            0.011758,            0.012595,           0.0092779,           0.0015949,          0.00085337,           0.0001044,            0.061585,            0.012723,            0.011302,            0.001157,            0.001157,            0.065557
                  21,            0.080109,            0.010668,            0.013274,           0.0031544,           0.0091707,          0.00033289,          7.5583e-05,            0.061459,            0.012897,            0.011171,           0.0010649,           0.0010649,            0.063765
                  22,            0.069716,           0.0099552,            0.011574,           0.0012611,            0.038676,          0.00064279,          0.00014029,            0.061325,            0.012995,            0.011168,          0.00097068,          0.00097068,            0.061971
                  23,            0.077074,            0.011343,            0.013269,           0.0010572,            0.053828,          0.00070152,          0.00014676,            0.061058,            0.013069,            0.011071,          0.00087743,          0.00087743,            0.060177
                  24,            0.076273,            0.011515,            0.013343,            0.001416,            0.055423,          0.00085306,          0.00017088,            0.060705,             0.01324,            0.010991,           0.0007884,           0.0007884,            0.058388
                  25,            0.073439,            0.011582,            0.012677,           0.0020032,            0.047847,           0.0010987,          0.00018732,            0.060552,            0.013272,            0.010864,          0.00070687,          0.00070687,            0.056607
                  26,            0.071557,            0.013348,            0.010849,           0.0013758,            0.048644,          0.00086111,          0.00014595,            0.060566,            0.013102,            0.010855,          0.00063618,          0.00063618,            0.054836
                  27,            0.073025,            0.012794,            0.014037,           0.0016721,            0.026715,          0.00054961,          0.00011719,            0.060227,            0.013302,            0.010625,          0.00057962,          0.00057962,             0.05308
                  28,            0.075054,            0.012106,            0.015133,           0.0018011,            0.051037,          0.00078032,          0.00015235,            0.059784,            0.013387,            0.010437,          0.00054038,          0.00054038,             0.05134
                  29,            0.080705,            0.012659,            0.014504,          0.00091107,            0.082935,          0.00046956,          8.4191e-05,            0.059679,            0.013449,             0.01041,          0.00052155,          0.00052155,            0.049622
