iter	Logloss
0	0.665381175
1	0.6288762077
2	0.6004051603
3	0.5670362381
4	0.5441190412
5	0.5194893358
6	0.4968972599
7	0.4814355223
8	0.4642808707
9	0.4484225397
10	0.4357496985
11	0.4233311444
12	0.4194299777
13	0.4066634358
14	0.3936435415
15	0.3823001764
16	0.3771589477
17	0.3701623063
18	0.3644868312
19	0.3548491414
20	0.34897246
21	0.343843167
22	0.3398066144
23	0.3367397909
24	0.3290336557
25	0.32208164
26	0.315354544
27	0.309573439
28	0.3059377843
29	0.3003682851
30	0.2967103036
31	0.2916664063
32	0.2894497545
33	0.2873637378
34	0.2850393324
35	0.2799003016
36	0.2785631489
37	0.2759659471
38	0.2724796613
39	0.2698854633
40	0.2685909253
41	0.2676188453
42	0.2661518961
43	0.2637299451
44	0.2621181829
45	0.2598840445
46	0.2583320455
47	0.2561864935
48	0.2537202642
49	0.2519013103
50	0.249908082
51	0.2486824777
52	0.2465681841
53	0.2453996776
54	0.2447105767
55	0.2430767413
56	0.2418211383
57	0.2398498789
58	0.238992107
59	0.2374825582
60	0.2371398308
61	0.2355457145
62	0.2349483797
63	0.2337567812
64	0.2323788991
65	0.2314279539
66	0.2297657119
67	0.2287961266
68	0.228454995
69	0.2268827345
70	0.225757569
71	0.2244963238
72	0.2238467184
73	0.2232837844
74	0.2226266599
75	0.2221444509
76	0.2220733263
77	0.2213803821
78	0.2207053142
79	0.2196299881
80	0.2191645182
81	0.2184196605
82	0.2176569687
83	0.217096298
84	0.21626957
85	0.2158663376
86	0.2152569833
87	0.2140655662
88	0.2128809903
89	0.2124511804
90	0.2119131054
91	0.2108924148
92	0.2093704466
93	0.2086473329
94	0.2076908332
95	0.2072062174
96	0.2064553821
97	0.2061639626
98	0.2060686155
99	0.2055708472
100	0.2050515191
101	0.2047299943
102	0.2043848651
103	0.2042930461
104	0.2042434799
105	0.2041739812
106	0.2037892014
107	0.2032353467
108	0.2030815661
109	0.2027382965
110	0.2024475032
111	0.2023176806
112	0.202209862
113	0.2017306119
114	0.20159801
115	0.2012835962
116	0.2002967464
117	0.1998332478
118	0.1997451201
119	0.1992796435
120	0.1991503271
121	0.1983725451
122	0.1979882438
123	0.1978337528
124	0.1975022784
125	0.1963197848
126	0.1962940883
127	0.1953981941
128	0.1949583553
129	0.1946773825
130	0.1945207189
131	0.1945205828
132	0.1941382525
133	0.1937027871
134	0.1936876457
135	0.193272218
136	0.1924893012
137	0.1922204892
138	0.1922202276
139	0.1920125654
140	0.1919266541
141	0.1917979839
142	0.1914498246
143	0.1914413866
144	0.1912196279
145	0.1908944616
146	0.1902943921
147	0.1899712954
148	0.1899709238
149	0.1898257454
150	0.1898253931
151	0.1896096729
152	0.1892138409
153	0.1888951996
154	0.1884773785
155	0.1884725806
156	0.1884482378
157	0.188303805
158	0.1882432907
159	0.1878840129
160	0.1878809315
161	0.1875741818
162	0.1872225782
163	0.1871457426
164	0.1868030994
165	0.1867904317
166	0.1862104634
167	0.1860783573
168	0.1856039609
169	0.1855840173
170	0.1853767444
171	0.1853392583
172	0.1852229132
173	0.184585133
174	0.1845142473
175	0.1843553067
176	0.1838136357
177	0.1838094435
178	0.1834894589
179	0.1834753985
180	0.1831523226
181	0.1825521047
182	0.1825457895
183	0.1822538666
184	0.1821807934
185	0.1821325784
186	0.181849607
187	0.1811734039
188	0.1809255021
189	0.1809019947
190	0.1808465747
191	0.1808375779
192	0.1806919893
193	0.1806451193
194	0.1806437673
195	0.1805335269
196	0.1804827878
197	0.1799839983
198	0.1797503062
199	0.1794203794
200	0.1792702682
201	0.1792642196
202	0.1792638568
203	0.17859239
204	0.1785581961
205	0.1783355466
206	0.1782665253
207	0.1782320331
208	0.1779399553
209	0.1771598567
210	0.177112214
211	0.1768333702
212	0.1766190721
213	0.1765962985
214	0.1761411595
215	0.1761361645
216	0.1761009056
217	0.1761004974
218	0.1756770584
219	0.1754542636
220	0.1754509758
221	0.1753853455
222	0.1749388288
223	0.1748667653
224	0.1743667479
225	0.1741702024
226	0.1739118966
227	0.1738659942
228	0.1737098799
229	0.1736926443
230	0.1736482478
231	0.1734455769
232	0.1732459288
233	0.1732103383
234	0.1731812905
235	0.1726712736
236	0.1725588103
237	0.172557054
238	0.1721643122
239	0.1721638578
240	0.1716944204
241	0.1716625117
242	0.171419914
243	0.1713257471
244	0.1709183465
245	0.1708113418
246	0.1707525453
247	0.1703742433
248	0.1703457988
249	0.1700494595
250	0.1700491007
251	0.1699064621
252	0.1697765087
253	0.1691829589
254	0.1690485588
255	0.1690350509
256	0.16894096
257	0.1682801708
258	0.1681923743
259	0.1681570559
260	0.1680739313
261	0.1679949654
262	0.1678964387
263	0.1678943636
264	0.1678504781
265	0.1678194375
266	0.1676058273
267	0.1673022539
268	0.1669017704
269	0.1665787089
270	0.1663366296
271	0.1663102076
272	0.1662302669
273	0.1661821806
274	0.1661818019
275	0.1661548941
276	0.1658210189
277	0.1658149421
278	0.1658145843
279	0.1657494323
280	0.165697881
281	0.1655787591
282	0.1655738392
283	0.1655593867
284	0.1655579016
285	0.1655392866
286	0.1651305569
287	0.1649765265
288	0.1649751947
289	0.164897584
290	0.1648909324
291	0.1648870106
292	0.1646908371
293	0.1644761175
294	0.1642442311
295	0.1639415342
296	0.1639212297
297	0.1638149035
298	0.1638037141
299	0.1638034938
300	0.1636473479
301	0.1636256988
302	0.1635750867
303	0.1634850569
304	0.1634656065
305	0.1634654295
306	0.1634503371
307	0.1628177438
308	0.1627048159
309	0.1626140225
310	0.1625736761
311	0.1625329353
312	0.1624665909
313	0.162405094
314	0.162179237
315	0.1621340416
316	0.1621306914
317	0.1621240355
318	0.1620696732
319	0.1618369558
320	0.1617341301
321	0.1615398975
322	0.1614405131
323	0.1614291197
324	0.1611717965
325	0.1611680386
326	0.1610022989
327	0.1607924769
328	0.1605531276
329	0.1605350476
330	0.1603417447
331	0.1602686392
332	0.1600541304
333	0.1597956447
334	0.1596014312
335	0.1593877224
336	0.1593812342
337	0.1591327745
338	0.1589108673
339	0.158756164
340	0.1587514448
341	0.1585920433
342	0.1585015963
343	0.1584632884
344	0.1582291329
345	0.1582234835
346	0.1582115311
347	0.1582054986
348	0.1581669949
349	0.1581645458
350	0.1581226514
351	0.1578806186
352	0.1576067466
353	0.1575359245
354	0.1574223365
355	0.156781669
356	0.1567815313
357	0.1565669146
358	0.1565661555
359	0.1565643899
360	0.1563770511
361	0.1561139344
362	0.1559506543
363	0.1559505013
364	0.1558507193
365	0.1558496679
366	0.155817479
367	0.1556536573
368	0.1553981683
369	0.1552603878
370	0.1551430742
371	0.1549879569
372	0.1549371471
373	0.1547737311
374	0.1546212736
375	0.1546076631
376	0.1542907223
377	0.1542894307
378	0.1542845345
379	0.1542829877
380	0.1542203075
381	0.1540542138
382	0.1539417339
383	0.1539273098
384	0.1539030327
385	0.1537586577
386	0.1536203415
387	0.1534994448
388	0.1534033337
389	0.1533380674
390	0.1530173159
391	0.1528920804
392	0.1526340469
393	0.1526330292
394	0.152435942
395	0.1524120232
396	0.1522120488
397	0.1521048275
398	0.1519371521
399	0.1517437053
400	0.1516918905
401	0.1516052979
402	0.1514228156
403	0.1509474633
404	0.1508157675
405	0.1504989002
406	0.1503730223
407	0.1501659166
408	0.1501162505
409	0.1501075749
410	0.1501028791
411	0.1500994029
412	0.1500914888
413	0.1500905415
414	0.1500722965
415	0.15003252
416	0.1497377023
417	0.1494401891
418	0.1494259747
419	0.1493063299
420	0.149296283
421	0.1492090963
422	0.1491515216
423	0.1490884736
424	0.1490703937
425	0.1490655034
426	0.1490416663
427	0.1490288661
428	0.1490256747
429	0.1486421138
430	0.148632188
431	0.1486062681
432	0.1483513857
433	0.1481474596
434	0.1479993573
435	0.1479225305
436	0.1477954417
437	0.1475338105
438	0.1473123545
439	0.1472946707
440	0.1472915807
441	0.1472832819
442	0.1472695409
443	0.1471453362
444	0.1470241089
445	0.1468552356
446	0.1468207934
447	0.1463372683
448	0.1463332173
449	0.1463262306
450	0.1462351068
451	0.1460570081
452	0.1459827303
453	0.1459433446
454	0.1455000356
455	0.1454567856
